section	offset	size	unit	scope	name	demangled
.text	0x0000C874	0x260	em1b/em10.cpp	local	em10_R1_R30FBullJump__FP5cEm10	em10_R1_R30FBullJump
.text	0x0000CAD4	0x19C	em1b/em10.cpp	local	em10_R1_R320Gatling__FP5cEm10	em10_R1_R320Gatling
.text	0x0000CC70	0x1C	em1b/em10.cpp	local	em10_R1_R321DeadBody__FP5cEm10	em10_R1_R321DeadBody
.text	0x0000CC8C	0x180	em1b/em10.cpp	local	em10_R1_R300Gatling__FP5cEm10	em10_R1_R300Gatling
.text	0x0000CE0C	0x2D8	em1b/em10.cpp	local	em10_R1_R101Cart__FP5cEm10	em10_R1_R101Cart
.text	0x0000D0E4	0xB0	em1b/em10.cpp	local	em10_R1_br_EvtDash__FP5cEm10	em10_R1_br_EvtDash
.text	0x0000D194	0x3D8	em1b/em10.cpp	local	em10_R1_EvtDash__FP5cEm10	em10_R1_EvtDash
.text	0x0000D56C	0xB0	em1b/em10.cpp	local	em10_R1_br_EvtWalk__FP5cEm10	em10_R1_br_EvtWalk
.text	0x0000D61C	0x210	em1b/em10.cpp	local	em10_R1_EvtWalk__FP5cEm10	em10_R1_EvtWalk
.text	0x0000D82C	0x238	em1b/em10.cpp	local	em10_R1_Pickup__FP5cEm10	em10_R1_Pickup
.text	0x0000DA64	0x19C	em1b/em10.cpp	local	em10_R1_Find__FP5cEm10	em10_R1_Find
.text	0x0000DC00	0x27C	em1b/em10.cpp	local	em10_R1_C_SawStart__FP5cEm10	em10_R1_C_SawStart
.text	0x0000DE7C	0x1A4	em1b/em10.cpp	local	em10_R1_BombIgnition__FP5cEm10	em10_R1_BombIgnition
.text	0x0000E020	0x23C	em1b/em10.cpp	local	em10_R1_br_Walk__FP5cEm10	em10_R1_br_Walk
.text	0x0000E25C	0x4F8	em1b/em10.cpp	local	em10_R1_Walk__FP5cEm10	em10_R1_Walk
.text	0x0000E754	0x1C8	em1b/em10.cpp	local	em10_R1_br_Dash__FP5cEm10	em10_R1_br_Dash
.text	0x0000E91C	0x56C	em1b/em10.cpp	local	em10_R1_Dash__FP5cEm10	em10_R1_Dash
.text	0x0000EE88	0x2C	em1b/em10.cpp	local	em10_R1_br_Back__FP5cEm10	em10_R1_br_Back
.text	0x0000EEB4	0x3A8	em1b/em10.cpp	local	em10_R1_Back__FP5cEm10	em10_R1_Back
.text	0x0000F25C	0x118	em1b/em10.cpp	local	em10_R1_br_Goto__FP5cEm10	em10_R1_br_Goto
.text	0x0000F374	0xD24	em1b/em10.cpp	local	em10_R1_Goto__FP5cEm10	em10_R1_Goto
.text	0x00010098	0x2DC	em1b/em10.cpp	local	em10_R1_GuardWalk__FP5cEm10	em10_R1_GuardWalk
.text	0x00010374	0x474	em1b/em10.cpp	local	em10_R1_Turn180__FP5cEm10	em10_R1_Turn180
.text	0x000107E8	0x184	em1b/em10.cpp	local	em10_R1_Threat__FP5cEm10	em10_R1_Threat
.text	0x0001096C	0x1A0	em1b/em10.cpp	local	em10_R1_SideStep__FP5cEm10	em10_R1_SideStep
.text	0x00010B0C	0x1A0	em1b/em10.cpp	local	em10_R1_HideSide__FP5cEm10	em10_R1_HideSide
.text	0x00010CAC	0x128	em1b/em10.cpp	local	em10_R1_AppearSide__FP5cEm10	em10_R1_AppearSide
.text	0x00010DD4	0x368	em1b/em10.cpp	local	em10_R1_SitDown__FP5cEm10	em10_R1_SitDown
.text	0x0001113C	0x518	em1b/em10.cpp	local	em10_R1_Stay__FP5cEm10	em10_R1_Stay
.text	0x00011654	0x1BC	em1b/em10.cpp	local	em10_R1_RoofWait__FP5cEm10	em10_R1_RoofWait
.text	0x00011810	0x3F0	em1b/em10.cpp	local	em10_R1_Guard__FP5cEm10	em10_R1_Guard
.text	0x00011C00	0x124	em1b/em10.cpp	local	em10_R1_DownWakeWait__FP5cEm10	em10_R1_DownWakeWait
.text	0x00011D24	0x1D0	em1b/em10.cpp	local	em10_R1_DownWake__FP5cEm10	em10_R1_DownWake
.text	0x00011EF4	0x128	em1b/em10.cpp	local	em10_R1_Crash__FP5cEm10	em10_R1_Crash
.text	0x0001201C	0x178	em1b/em10.cpp	local	em10_R1_ClimbOver__FP5cEm10	em10_R1_ClimbOver
.text	0x00012194	0x29C	em1b/em10.cpp	local	em10_R1_DoorAtk__FP5cEm10	em10_R1_DoorAtk
.text	0x00012430	0x20C	em1b/em10.cpp	local	em10_R1_RackAtk__FP5cEm10	em10_R1_RackAtk
.text	0x0001263C	0x31C	em1b/em10.cpp	local	em10_R1_WindowAtk__FP5cEm10	em10_R1_WindowAtk
.text	0x00012958	0x774	em1b/em10.cpp	local	em10_R1_LadderClimb__FP5cEm10	em10_R1_LadderClimb
.text	0x000130CC	0x5A0	em1b/em10.cpp	local	em10_R1_VLadderClimb__FP5cEm10	em10_R1_VLadderClimb
.text	0x0001366C	0x288	em1b/em10.cpp	local	em10_R1_LadderReset__FP5cEm10	em10_R1_LadderReset
.text	0x000138F4	0x610	em1b/em10.cpp	local	em10_R1_JumpDown__FP5cEm10	em10_R1_JumpDown
.text	0x00013F04	0x6D4	em1b/em10.cpp	local	em10_R1_Jump__FP5cEm10	em10_R1_Jump
.text	0x000145D8	0x294	em1b/em10.cpp	local	em10_R1_JumpUp__FP5cEm10	em10_R1_JumpUp
.text	0x0001486C	0x2E4	em1b/em10.cpp	local	em10_R1_Trade__FP5cEm10	em10_R1_Trade
.text	0x00014B50	0x294	em1b/em10.cpp	local	em10_R1_Drive__FP5cEm10	em10_R1_Drive
.text	0x00014DE4	0x148	em1b/em10.cpp	local	em10_R1_Catapult__FP5cEm10	em10_R1_Catapult
.text	0x00014F2C	0x1A0	em1b/em10.cpp	local	em10_R1_RockPush__FP5cEm10	em10_R1_RockPush
.text	0x000150CC	0x294	em1b/em10.cpp	local	em10_R1_ParasiteAtk__FP5cEm10	em10_R1_ParasiteAtk
.text	0x00015360	0xBC8	em1b/em10.cpp	local	em10_R1_ShotBowgun__FP5cEm10	em10_R1_ShotBowgun
.text	0x00015F28	0x878	em1b/em10.cpp	local	em10_R1_ShotRocket__FP5cEm10	em10_R1_ShotRocket
.text	0x000167A0	0x868	em1b/em10.cpp	local	em10_R1_ShotGatling__FP5cEm10	em10_R1_ShotGatling
.text	0x00017008	0x580	em1b/em10.cpp	local	em10_R1_ThrowAxe__FP5cEm10	em10_R1_ThrowAxe
.text	0x00017588	0x1A0	em1b/em10.cpp	local	em10_R1_ThrowBomb__FP5cEm10	em10_R1_ThrowBomb
.text	0x00017728	0x910	em1b/em10.cpp	local	em10_R1_FixBomber__FP5cEm10	em10_R1_FixBomber
.text	0x00018038	0x3B0	em1b/em10.cpp	local	em10_R1_R305Bomber__FP5cEm10	em10_R1_R305Bomber
.text	0x000183E8	0x3D0	em1b/em10.cpp	local	em10_R1_R408Bomber__FP5cEm10	em10_R1_R408Bomber
.text	0x000187B8	0x100	em1b/em10.cpp	local	em10_R1_RocketWait__FP5cEm10	em10_R1_RocketWait
.text	0x000188B8	0x7A4	em1b/em10.cpp	local	em10_R1_AxeAtk__FP5cEm10	em10_R1_AxeAtk
.text	0x0001905C	0x2F4	em1b/em10.cpp	local	em10_R1_ShieldAtk__FP5cEm10	em10_R1_ShieldAtk
.text	0x00019350	0x260	em1b/em10.cpp	local	em10_R1_TorchFrame__FP5cEm10	em10_R1_TorchFrame
