address	size	section	unit	scope	name	demangled
0x80008A04	0x48	.text	game/cam_ctrl.cpp	global	startPushObject__13CameraControl	CameraControl::startPushObject
0x80008A4C	0x5C	.text	game/cam_ctrl.cpp	global	endPushObject__13CameraControl	CameraControl::endPushObject
0x80008AA8	0xA8	.text	game/cam_ctrl.cpp	global	StartLookDownEm__13CameraControlPv	CameraControl::StartLookDownEm
0x80008B50	0x6C	.text	game/cam_ctrl.cpp	global	EndLookDownEm__13CameraControl	CameraControl::EndLookDownEm
0x80008BBC	0x80	.text	game/cam_ctrl.cpp	global	startScope__13CameraControlP3VecT1	CameraControl::startScope
0x80008C3C	0x94	.text	game/cam_ctrl.cpp	global	endScope__13CameraControl	CameraControl::endScope
0x80008CD0	0x50	.text	game/cam_ctrl.cpp	global	getTrajectory__13CameraControlP3VecT1	CameraControl::getTrajectory
0x80008D20	0x48	.text	game/cam_ctrl.cpp	global	saveScopeParam__13CameraControl	CameraControl::saveScopeParam
0x80008D68	0x48	.text	game/cam_ctrl.cpp	global	loadScopeParam__13CameraControl	CameraControl::loadScopeParam
0x80008DB0	0x24	.text	game/cam_ctrl.cpp	global	SetBinocularRange__13CameraControlffff	CameraControl::SetBinocularRange
0x80008DD4	0x90	.text	game/cam_ctrl.cpp	global	HoldBinocular__13CameraControlPvT1P3VecT3	CameraControl::HoldBinocular
0x80008E64	0x8C	.text	game/cam_ctrl.cpp	global	LowerBinocular__13CameraControl	CameraControl::LowerBinocular
0x80008EF0	0x1C	.text	game/cam_ctrl.cpp	global	GetBinocularIDAddr__13CameraControlPPvT1	CameraControl::GetBinocularIDAddr
0x80008F0C	0x80	.text	game/cam_ctrl.cpp	global	MotionSet__13CameraControlPvif	CameraControl::MotionSet
0x80008F8C	0x18	.text	game/cam_ctrl.cpp	global	IsMotionSet__13CameraControl	CameraControl::IsMotionSet
0x80008FA4	0x2C	.text	game/cam_ctrl.cpp	global	IsMotionEnd__13CameraControl	CameraControl::IsMotionEnd
0x80008FD0	0xC	.text	game/cam_ctrl.cpp	global	setMotionBaseMatPtr__13CameraControlPA2_A3_f	CameraControl::setMotionBaseMatPtr
0x80008FDC	0xC	.text	game/cam_ctrl.cpp	global	getMotionInfoPtr__13CameraControl	CameraControl::getMotionInfoPtr
0x80008FE8	0x34	.text	game/cam_ctrl.cpp	global	clearAttachCamera__13CameraControl	CameraControl::clearAttachCamera
0x8000901C	0xA8	.text	game/cam_ctrl.cpp	global	registAttachCamera__13CameraControlP12AttachCameraP6cModel	CameraControl::registAttachCamera
0x800090C4	0x58	.text	game/cam_ctrl.cpp	global	deleteAttachCamera__13CameraControlP12AttachCameraP6cModel	CameraControl::deleteAttachCamera
0x8000911C	0x5C	.text	game/cam_ctrl.cpp	global	getAttachModel__13CameraControlP6cModel	CameraControl::getAttachModel
0x80009178	0x80	.text	game/cam_ctrl.cpp	global	getAttachCamera__13CameraControlP6cModel	CameraControl::getAttachCamera
0x800091F8	0x1D8	.text	game/cam_ctrl.cpp	global	checkAttachCamera__13CameraControl	CameraControl::checkAttachCamera
0x800093D0	0xDC	.text	game/cam_ctrl.cpp	global	cameraDataVersion__FPc	cameraDataVersion
0x800094AC	0x48	.text	game/cam_ctrl.cpp	global	log__t8cManager1Z6cLightPCce	cManager<cLight>::log
0x800094F4	0xBC	.text	game/cam_ctrl.cpp	global	countActiveWork__t8cManager1Z6cLight	cManager<cLight>::countActiveWork
0x800095B0	0x158	.text	game/cam_ctrl.cpp	global	create__t8cManager1Z6cLighti	cManager<cLight>::create
0x80009708	0x24	.text	game/cam_ctrl.cpp	global	create__t8cManager1Z6cLight	cManager<cLight>::create
0x8000972C	0x4	.text	game/cam_ctrl.cpp	global	__static_initialization_and_destruction_0	__static_initialization_and_destruction_0
